Folder,Filename,Public ID,Format,Width,Height,Size (KB),Original URL,Thumbnail URL,Small URL,Medium URL,Large URL
"root","Jayla_Taylor_Low_Res_M44B6246_1_ypow2p","Jayla_Taylor_Low_Res_M44B6246_1_ypow2p","jpg","1182","1792","529","https://res.cloudinary.com/whxy/image/upload/v1758215118/Jayla_Taylor_Low_Res_M44B6246_1_ypow2p.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6246_1_ypow2p?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6246_1_ypow2p?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6246_1_ypow2p?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6246_1_ypow2p?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6205_zfyutl","Jayla_Taylor_Low_Res_M44B6205_zfyutl","jpg","1195","1792","214","https://res.cloudinary.com/whxy/image/upload/v1758215116/Jayla_Taylor_Low_Res_M44B6205_zfyutl.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6205_zfyutl?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6205_zfyutl?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6205_zfyutl?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6205_zfyutl?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig","Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig","jpg","1195","1792","190","https://res.cloudinary.com/whxy/image/upload/v1758215114/Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6205_1_qwo6ig?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6178_cvwi0o","Jayla_Taylor_Low_Res_M44B6178_cvwi0o","jpg","1195","1792","458","https://res.cloudinary.com/whxy/image/upload/v1758215113/Jayla_Taylor_Low_Res_M44B6178_cvwi0o.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6178_cvwi0o?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6178_cvwi0o?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6178_cvwi0o?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6178_cvwi0o?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj","Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj","jpg","1182","1792","720","https://res.cloudinary.com/whxy/image/upload/v1758215111/Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6082_1_nbhxcj?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6006_a7r2zh","Jayla_Taylor_Low_Res_M44B6006_a7r2zh","jpg","1194","1498","831","https://res.cloudinary.com/whxy/image/upload/v1758215110/Jayla_Taylor_Low_Res_M44B6006_a7r2zh.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6006_a7r2zh?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6006_a7r2zh?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6006_a7r2zh?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6006_a7r2zh?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u","Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u","jpg","1193","1495","777","https://res.cloudinary.com/whxy/image/upload/v1758215108/Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6006_1_w6lp5u?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6003_uisqwq","Jayla_Taylor_Low_Res_M44B6003_uisqwq","jpg","1195","1792","774","https://res.cloudinary.com/whxy/image/upload/v1758215107/Jayla_Taylor_Low_Res_M44B6003_uisqwq.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6003_uisqwq?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6003_uisqwq?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6003_uisqwq?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6003_uisqwq?_a=BAMAK+cc0"
"root","Jayla_Taylor_Low_Res_M44B6003_1_lag2el","Jayla_Taylor_Low_Res_M44B6003_1_lag2el","jpg","1195","1792","732","https://res.cloudinary.com/whxy/image/upload/v1758215105/Jayla_Taylor_Low_Res_M44B6003_1_lag2el.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_Low_Res_M44B6003_1_lag2el?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_Low_Res_M44B6003_1_lag2el?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_Low_Res_M44B6003_1_lag2el?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_Low_Res_M44B6003_1_lag2el?_a=BAMAK+cc0"
"root","Jayla_Taylor_High_Res_M44B6586_oqmo93","Jayla_Taylor_High_Res_M44B6586_oqmo93","jpg","1195","1792","639","https://res.cloudinary.com/whxy/image/upload/v1758215104/Jayla_Taylor_High_Res_M44B6586_oqmo93.jpg","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_150,q_auto,w_150/Jayla_Taylor_High_Res_M44B6586_oqmo93?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_400,q_auto,w_400/Jayla_Taylor_High_Res_M44B6586_oqmo93?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fill,f_auto,g_auto:subject,h_800,q_auto,w_800/Jayla_Taylor_High_Res_M44B6586_oqmo93?_a=BAMAK+cc0","https://res.cloudinary.com/whxy/image/upload/c_fit,f_auto,h_1200,q_auto,w_1200/Jayla_Taylor_High_Res_M44B6586_oqmo93?_a=BAMAK+cc0"
